(*number of unique page views of union college's website homepage from Saturday, April 12, 2008 to Saturday, January 1, 2011*)
1,663
3,347
5,602
5,093
4,612
4,472
3,736
2,061
2,933
4,986
4,841
4,746
4,466
3,793
2,021
2,856
5,091
5,039
4,300
3,654
3,553
2,347
3,207
5,359
4,946
4,985
4,886
3,830
1,937
2,766
5,302
4,860
4,484
4,414
3,641
1,669
2,557
5,036
4,533
4,302
4,607
3,683
1,571
1,977
4,160
2,351
0
0
0
0
0
0
231
3,074
2,914
2,601
1,533
1,914
4,043
4,295
3,374
2,961
2,888
1,924
2,125
3,763
3,599
3,751
3,147
2,599
1,288
1,727
3,191
3,001
2,578
2,722
2,462
1,322
1,609
3,052
2,795
2,659
2,366
1,073
1,242
1,543
2,942
3,030
2,867
2,809
2,486
1,274
1,627
3,161
3,092
2,955
2,754
2,326
1,217
1,609
3,120
2,973
2,934
2,858
2,293
1,235
1,621
3,160
3,089
2,943
2,805
2,363
1,363
1,686
3,178
3,285
3,086
3,012
2,634
1,468
1,795
3,419
3,229
2,995
2,964
2,578
1,287
1,615
3,347
3,217
3,135
3,034
2,776
1,580
1,884
3,742
3,318
3,349
3,196
2,954
2,028
1,924
2,618
4,153
3,733
3,710
3,606
2,782
2,989
5,426
5,317
4,938
4,515
3,873
2,995
3,540
4,853
4,737
4,216
4,107
3,398
2,627
2,991
4,687
4,575
4,461
4,377
4,084
2,764
3,548
4,916
4,790
4,817
4,318
3,954
2,717
3,146
5,249
5,302
4,879
4,682
4,297
2,957
3,328
5,367
5,333
5,219
5,049
4,388
2,988
3,277
5,844
5,709
4,836
4,768
3,992
2,676
3,283
4,674
5,511
4,989
4,868
3,817
2,586
3,232
5,731
5,100
5,016
4,851
4,461
3,127
3,478
5,758
4,988
4,878
5,026
4,391
3,331
3,433
5,086
5,002
4,532
4,041
3,486
1,944
2,207
3,796
3,659
2,782
1,347
1,840
1,859
2,219
4,133
4,189
4,122
3,531
2,920
1,833
2,120
3,528
3,638
3,529
3,457
2,767
1,747
1,821
3,918
3,548
3,321
3,078
2,500
1,443
1,689
2,772
2,404
1,518
951
1,459
1,367
1,578
2,367
2,356
1,718
1,702
3,234
2,387
3,194
5,577
5,189
4,975
4,827
4,046
2,400
2,795
5,039
5,210
4,774
4,895
4,248
2,456
2,754
4,545
4,397
4,496
4,675
4,054
2,214
2,846
4,747
4,678
4,680
4,301
3,807
2,257
2,333
4,769
4,601
4,649
4,521
4,488
2,721
3,116
5,471
5,020
4,774
4,263
4,374
2,388
2,937
4,937
5,469
4,764
4,706
4,332
2,691
3,024
5,478
4,957
4,762
4,734
4,524
2,616
2,970
5,926
5,413
4,999
4,471
4,164
2,450
2,811
5,040
4,730
4,703
4,409
4,320
2,757
3,411
4,889
4,167
4,061
3,921
3,314
1,742
2,144
3,980
4,637
3,801
3,779
3,357
2,114
2,966
5,590
5,289
4,840
4,292
3,818
2,237
2,676
4,700
4,688
4,429
4,043
3,324
2,027
2,158
4,505
4,474
4,441
4,019
3,573
1,887
2,354
4,594
4,518
4,347
4,181
3,370
1,768
2,238
4,387
4,193
4,151
4,011
3,716
2,134
2,521
